mother_code,condition,active_days,fti_mean
A016S,counter,7,2.6666666666666665
A118W,journal,4,4.0
B111H,journal,3,1.6666666666666667
B125W,counter,6,2.3333333333333335
E126B,journal,2,1.3333333333333333
G123C,journal,4,2.0
I102U,journal,3,2.0
I109A,counter,6,3.3333333333333335
I224W,counter,7,2.6666666666666665
J013A,counter,6,2.6666666666666665
L114F,counter,6,1.3333333333333333
M225T,journal,6,2.6666666666666665
P201F,counter,5,2.6666666666666665
R130M,journal,4,2.3333333333333335
S212M,counter,7,3.6666666666666665
S228F,counter,7,2.6666666666666665
T013V,counter,3,1.6666666666666667
