id,type,day,month,year,hour,minute,second
16,WORK,9,12,2025,9,18,56
15,SELF_CARE,8,12,2025,1,36,17
14,SOCIAL_ACTIVITY,6,12,2025,2,38,18
10,SELF_CARE,5,12,2025,14,38,52
11,SOCIAL_ACTIVITY,5,12,2025,16,1,0
12,OTHER,5,12,2025,18,46,52
13,SELF_CARE,5,12,2025,23,25,44
6,OTHER,4,12,2025,10,25,20
7,SELF_CARE,4,12,2025,10,25,25
8,SELF_CARE,4,12,2025,13,58,58
9,WORK,4,12,2025,15,24,34
4,WORK,3,12,2025,11,55,11
5,OTHER,3,12,2025,15,28,22
1,WORK,2,12,2025,11,56,19
2,WORK,2,12,2025,13,0,36
3,WORK,2,12,2025,13,40,4
