Questionnaire that has been used in the interview;START_cheerful;START_calm;START_active;START_fresh;START_interesting;START_wellbeing;;MIDDLE_cheerful;MIDDLE_calm;MIDDLE_active;MIDDLE_fresh;MIDDLE_interesting;MIDDLE_wellbeing;;END_cheerful;END_calm;END_active;END_fresh;END_interesting;END_wellbeing;;Future Intention to use: I will regularly use the App in the future.;Future Intention to use: I will use the App frequently in the future.;Future Intention to use: I will recommend the use of the App to others.;;Muttercode: [01];Geschlecht;Häufigkeit (1-6);Alter (direkt): I am ... years old;
base_2;;;;;;;;2;3;3;4;5;3,4;;3;4;2;2;2;2,6;;3;1;2;;S130T;;;;
Counter_1;4;3;5;5;3;4;;5;3;4;4;3;3,8;;4;3;3;2;3;3;;3;2;3;;I224W;1;1;23;
Counter_1;2;5;3;5;2;3,4;;3;5;3;5;1;3,4;;2;5;2;6;1;3,2;;1;1;2;;L114F;1;1;23;
Counter_1;3;4;3;5;4;3,8;;5;4;3;5;4;4,2;;5;5;5;5;4;4,8;;1;1;3;;T013V;1;1;27;
Counter_1;4;5;3;3;2;3,4;;3;5;2;3;2;3;;3;5;2;4;2;3,2;;1;2;4;;B125W;2;1;28;
Counter_1;4;4;4;4;3;3,8;;3;4;4;4;2;3,4;;;;;;;;;;;;;S212M;1;2;25;
Counter_1;4;3;5;5;2;3,8;;4;3;5;5;2;3,8;;;;;;;;;;;;;S228F;2;1;23;
Counter_1;3;3;5;6;3;4;;;;;;;;;;;;;;;;;;;;I109A;2;2;26;
Journal_1;3;2;5;5;1;3,2;;4;2;5;5;2;3,6;;4;2;5;5;1;3,4;;2;2;2;;I102U;2;1;23;
Journal_1;2;4;2;5;2;3;;;;;;;;;3;4;3;4;3;3,4;;1;1;2;;E126B;1;1;25;
Journal_1;3;5;5;5;3;4,2;;2;3;5;5;2;3,4;;2;3;4;5;2;3,2;;2;3;3;;M225T;2;1;24;
Journal_1;4;4;4;4;3;3,8;;4;4;4;4;3;3,8;;4;4;4;4;4;4;;4;4;4;;A118W;2;1;23;
Journal_1;2;3;2;3;1;2,2;;;;;;;;;2;3;2;3;2;2,4;;1;1;3;;B111H;1;2;28;
Journal_1;4;5;4;5;4;4,4;;5;5;5;5;4;4,8;;5;4;4;5;4;4,4;;2;2;3;;R130M;2;2;23;
Journal_1;4;5;3;4;2;3,6;;4;4;3;4;3;3,6;;;;;;;;;;;;;G123C;1;2;57;
