Questionnaire that has been used in the interview;START_wellbeing;MIDDLE_wellbeing;END_wellbeing;;Future Intention to use: I will regularly use the App in the future.;Future Intention to use: I will use the App frequently in the future.;Future Intention to use: I will recommend the use of the App to others.;;Geschlecht;Häufigkeit (1-6);Alter (direkt): I am ... years old
base_2;;3,4;2,6;;3;1;2;;;;
Counter_1;4;3,8;3;;3;2;3;;1;1;23
Counter_1;3,4;3,4;3,2;;1;1;2;;1;1;23
Counter_1;3,8;4,2;4,8;;1;1;3;;1;1;27
Counter_1;3,4;3;3,2;;1;2;4;;2;1;28
Counter_1;3,8;3,4;;;;;;;1;2;25
Counter_1;3,8;3,8;;;;;;;2;1;23
Counter_1;4;;;;;;;;2;2;26
Journal_1;3,2;3,6;3,4;;2;2;2;;2;1;23
Journal_1;3;;3,4;;1;1;2;;1;1;25
Journal_1;4,2;3,4;3,2;;2;3;3;;2;1;24
Journal_1;3,8;3,8;4;;4;4;4;;2;1;23
Journal_1;2,2;;2,4;;1;1;3;;1;2;28
Journal_1;4,4;4,8;4,4;;2;2;3;;2;2;23
Journal_1;3,6;3,6;;;;;;;1;2;57
